title,authors,year,doi,primary_category,secondary_categories,evidence_level,tags,clinical_significance,key_findings,sample_size,mortality_count,qtc_data,herg_data,electrolyte_data,contraindications,dosing_range,route,source_pdf,journal,aliases,source_url,pmid,pmcid,open_access,publisher,body_format,issn,filepath
The Ibogaine Experience: A Qualitative Study on the Acute Subjective Effects of Ibogaine,"Kohek, Maja; Ohren, Maurice; Hornby, Paul; Alcázar-Córcoles, Miguel Ángel; Bouso, José Carlos",2020,10.1111/anoc.12119,PURPLE,,qualitative,topic/phenomenology; topic/opioid; topic/traditional-use; method/qualitative,moderate,Grounded-theory study (n=20) identified 8 categories and 10 subcategories of acute ibogaine effects; observer quality and self-psychoanalysis enhancement distinguish ibogaine from classical serotonergic psychedelics.,20,,false,false,false,,"6–28 mg/kg oral (i-HCl, TA, root bark, or combinations; see dosing table)",oral,2020/Kohek2020_Qualitive_Study_Acute_Subjective_Effects_of_Ibogaine.pdf,Anthropology of Consciousness,Kohek 2020; Qualitative Ibogaine Subjective Effects Taxonomy,,,,false,Wiley,vault-analytical,,2020/Kohek2020_Qualitive_Study_Acute_Subjective_Effects_of_Ibogaine.md
A Single Administration of the Atypical Psychedelic Ibogaine or its Metabolite Noribogaine Induces an Antidepressant-like Effect in Rats,"Rodríguez, Paola; Urbanavicius, Jessika; Prieto, José Pedro; Fabius, Sara; Reyes, Ana Laura; Havel, Vaclav; Sames, Dalibor; Scorza, Cecilia; Carrera, Ignacio",2020,10.1021/acschemneuro.0c00152,ORANGE,BLUE,preclinical,topic/noribogaine; topic/pharmacokinetics; topic/psychiatric; mechanism/sert-inhibition; method/preclinical,high,"Single ibogaine or noribogaine dose produces antidepressant-like effect in rat FST; both compounds required simultaneously in brain, suggesting polypharmacological mechanism beyond SERT inhibition",,,false,false,false,,20 and 40 mg/kg IP (ibogaine HCl and noribogaine HCl); 1 and 5 mg/kg IV (ibogaine HCl),intraperitoneal,2020/Rodriguez2020_Ibogaine_Noribogaine_Antidepressant_Rats.pdf,ACS Chemical Neuroscience,Rodriguez 2020; Ibogaine Noribogaine Antidepressant Rats FST,,32330007,,false,American Chemical Society,vault-analytical,,2020/Rodriguez2020_Ibogaine_Noribogaine_Antidepressant_Rats.md
Novel treatment of opioid use disorder using ibogaine and iboga in two adults,"Wilson, Claire; Millar, Trevor; Matieschyn, Zak",2020,10.1556/2054.2020.00133,BLUE,,case-report,method/case-report; topic/opioid; topic/efficacy,moderate,"Two Canadian OUD cases: Case 1 achieved total opioid abstinence (3yr+) after single treatment. Case 2 used multiple iboga sessions to taper off OAT, maintained 2yr+ abstinence. Demonstrates treatment versatility.",2,,true,false,false,,variable - flood dose protocol over 6 days,oral,2020/Wilson2020_Novel_Tx_OUD_Ibogaine_Iboga_Case_Study.pdf,Journal of Psychoactive Drugs,Wilson 2020; Wilson; Novel treatment of opioid,,,,false,Akadémiai Kiadó,vault-analytical,,2020/Wilson2020_Novel_Tx_OUD_Ibogaine_Iboga_Case_Study.md
Death due to consumption of ibogaine: case report,"Aćimović, Tijana; Atanasijević, Tatjana; Denić, Kristina; Lukić, Vera; Popović, Vesna; Bogdanović, Milenko",2021,10.1007/s12024-020-00342-0,RED,,case-report,topic/adverse-event; topic/toxicity; topic/opioid; method/case-report,moderate,27yo heroin addict died 5-12h post oral iboga powder (online-purchased); blood ibogaine 3.26 mg/L; morphine/codeine co-detected; no cardiac pathology on histology,1,1,false,false,false,Active opioid use (heroin); Unsupervised/unregulated treatment setting; Online-purchased unverified product,"unknown (iboga root bark powder, blood ibogaine 3.26 mg/L)",oral,2021/Acimovic2021_Ibogaine_Death_Case_Report.pdf,"Forensic Science, Medicine, and Pathology",Aćimović 2021; Ibogaine death Serbia case report,,33433774,,false,Springer Nature,vault-analytical,,2021/Acimovic2021_Ibogaine_Death_Case_Report.md
The Holy Spirit of Iboga and a Contemporary Perspective on Africa's Spiritual Renaissance: Focus on Gabonese Bwiti Tradition,"Bekale, Audrey Nguema; Alagidede, Imhotep Paul",2021,,WHITE,,review,topic/traditional-use; topic/history; topic/phenomenology; method/review,low,Comprehensive ethnographic analysis of Gabonese Bwiti tradition tracing origins from Babongo Pygmies through modern syncretic forms; positions Bwiti as potential catalyst for African spiritual renaissance,,,false,false,false,,,,2021/Bekale2021_Holy_Spirit_Iboga_Bwiti.pdf,Journal of Indigenous Social Studies,Bekale 2021; Bwiti Spiritual Renaissance,,,,unknown,,vault-analytical,,2021/Bekale2021_Holy_Spirit_Iboga_Bwiti.md
A Non-Hallucinogenic Psychedelic Analog with Therapeutic Potential,"Cameron, Lindsay P.; Tombari, Robert J.; Lu, Ju; Pell, Alexander J.; Hurley, Zefan Q.; Ehinger, Yann; Vargas, Maxemiliano V.; McCarroll, Matthew N.; Taylor, Jack C.; Myers-Turnbull, Douglas; Liu, Taohui; Yaghoobi, Bianca; Laskowski, Lauren J.; Anderson, Emilie I.; Zhang, Guoliang; Viswanathan, Jayashri; Brown, Brandon M.; Tjia, Michelle; Dunlap, Lee E.; Rabow, Zachary T.; Fiehn, Oliver; Wulff, Heike; McCorvy, John D.; Lein, Pamela J.; Kokel, David; Ron, Dorit; Peters, Jamie; Zuo, Yi; Olson, David E.",2021,10.1038/s41586-020-3008-z,ORANGE,RED; BLUE,preclinical,topic/analogues; topic/neuroplasticity; topic/receptor; topic/cardiac; method/preclinical,moderate,"TBG: non-hallucinogenic ibogaine analog, ~100× lower hERG inhibition (IC₅₀ ~100 μM vs 1 μM), promotes neural plasticity via 5-HT2A, reduces alcohol/heroin-seeking in rodents with effects lasting 12–14 days",,,false,true,false,,,,2021/Cameron2021_Tabernanthalog_Non_Hallucinogenic_Analog.pdf,Nature,Cameron 2021; Tabernanthalog TBG; Non-Hallucinogenic Ibogaine Analog,,33299186,PMC7874389,true,Springer Nature,vault-analytical,,2021/Cameron2021_Tabernanthalog_Non_Hallucinogenic_Analog.md
Novel Class of Psychedelic Iboga Alkaloids Disrupts Opioid Addiction States,"Havel, Václav; Kruegel, Andrew C.; Bechand, Benjamin; McIntosh, Scot; Stallings, Leia; Hodges, Alana; Wulf, Madalee G.; Nelson, Melissa; Hunkele, Amanda; Ansonoff, Mike; Pintar, John E.; Hwu, Christopher; Abi-Gerges, Najah; Zaidi, Saheem A.; Katritch, Vsevolod; Yang, Mu; Javitch, Jonathan A.; Majumdar, Susruta; Hemby, Scott E.; Sames, Dalibor",2021,10.1101/2021.07.22.453441,ORANGE,RED,preclinical,topic/analogues; topic/opioid,high,Columbia/Sames lab oxa-iboga alkaloids: synthetic variants maintain anti-addictive efficacy while reducing cardiac liability. Novel class development for safer analogues.,,,false,true,false,,,,2021/Havel2021_Oxa-Iboga_Opioid_Addiction.pdf,bioRxiv,Havel 2021; Havel; Oxa-Iboga Alkaloids,,,,true,Cold Spring Harbor,academic-retained,,2021/Havel2021_Oxa-Iboga_Opioid_Addiction.md
Safety of ibogaine administration in detoxification of opioid-dependent individuals: a descriptive open-label observational study,"Knuijver, Thomas; Schellekens, Arnt; Belgers, Maarten; Donders, Rogier; van Oosteren, Toon; Kramers, Kees; Verkes, Robbert",2021,10.1111/add.15448,RED,GREEN; BLUE,cohort,topic/opioid; topic/withdrawal; topic/adverse-event; topic/protocol; mechanism/herg-blockade; method/clinical-trial,high,Dutch hospital study (n=14). QTc prolongation avg 95ms (range 29-146ms); 50% reached >500ms. Prolongation >450ms lasted >24h in 6 patients. No torsade. Severe but reversible ataxia in all. 11/14 did not return to morphine.,14,,true,false,true,cardiac disease history; ventricular fibrillation history; long QT syndrome; syncope history; QTc >450ms men / >470ms women; serum potassium >5.0 or <3.5 mmol/L; severe liver dysfunction; severe renal dysfunction (MDRD <30); pregnancy; QT-prolonging medications; CYP2D6 inhibitors; psychosis history; severe depression; suicidality,10mg/kg,oral,2021/Knuijver2021_Safety_Opioid_Detox.pdf,Addiction,Knuijver 2021; Dutch Hospital Safety Study,,33620733,PMC9292417,true,Wiley,vault-analytical,,2021/Knuijver2021_Safety_Opioid_Detox.md
"Ibogaine: To Have or Have Not. A review of the historical, legal and ethical implications of returning control of ibogaine to drug users","Lotsof, Howard S.",2021,,WHITE,,review,topic/history; topic/policy,moderate,Posthumous Lotsof essay on user control & drug policy: DEA officer's 50% demand reduction estimate; pharma/NIDA opposition mechanisms; ibogaine underground railroad emergence; harm reduction vs demand reduction debate.,,,false,false,false,,,not-applicable,2021/Lotsof2021_To_Have_or_Have_Not.pdf,,Lotsof 2021; Lotsof To Have or Have Not,,,,true,Dora Weiner Foundation,narrative,,2021/Lotsof2021_To_Have_or_Have_Not.md
Serotonergic Psychedelics in Neural Plasticity,"Lukasiewicz, Kacper; Baker, Jacob J.; Zuo, Yi; Lu, Ju",2021,10.3389/fnmol.2021.748359,ORANGE,,review,topic/neuroplasticity; topic/receptor; topic/analogues; topic/noribogaine; method/review,moderate,"Noribogaine, not ibogaine, increases dendritic arbor complexity via 5-HT2A. Ibogaine neurotoxic at ≥50 mg/kg (Purkinje cell degeneration). TBG: non-hallucinogenic, non-cardiotoxic ibogaine analogue promoting spine formation.",,,false,false,false,,,,2021/Lukasiewicz2021_Serotonergic_Psychedelics_Neuroplasticity.pdf,Frontiers in Molecular Neuroscience,Lukasiewicz 2021; Serotonergic Psychedelics Neuroplasticity Review,,34712118,PMC8545892,true,Frontiers,vault-analytical,,2021/Lukasiewicz2021_Serotonergic_Psychedelics_Neuroplasticity.md
Evaluating the toxicity and therapeutic potential of ibogaine in the treatment of chronic opioid abuse,"Luz, Matthias; Mash, Deborah C.",2021,10.1080/17425255.2021.1944099,ORANGE,RED,review,topic/opioid; topic/pharmacokinetics; topic/noribogaine; topic/cardiac; topic/cyp2d6; mechanism/herg-blockade; method/review,moderate,"DemeRx expert opinion review. CYP2D6 metabolism, noribogaine half-life 24-30h. Reviews benefit-risk ratio for opioid withdrawal. Discusses hERG concerns and drug development barriers.",,,false,true,false,,,,2021/Luz2021_Toxicity_Therapeutic_Potential.pdf,Expert Opinion on Drug Metabolism & Toxicology,Luz 2021; DemeRx Expert Opinion,,34139922,,false,Taylor & Francis,academic-retained,,2021/Luz2021_Toxicity_Therapeutic_Potential.md
The adverse events of ibogaine in humans: an updated systematic review of the literature (2015–2020),"Ona, Genís; Mendes Rocha, Juliana; Bouso, José Carlos; Hallak, Jaime E. C.; Borràs, Tre; Colomina, Maria Teresa; dos Santos, Rafael G.",2021,10.1007/s00213-021-05964-y,RED,ORANGE; GREEN,systematic-review,topic/adverse-event; topic/cardiac; topic/toxicity; topic/opioid; topic/pharmacokinetics; topic/cyp2d6; topic/combination; method/systematic-review,high,"PRISMA systematic review of 18 studies (2015–2020): QTc prolongation most common AE (max 788ms), TdP in 5 cases, 1 fatality. Extends Alper 2012/Koenig 2015 series.",,1,true,false,true,"Pre-existing cardiovascular disease; Hypokalemia; Hypomagnesemia; Concurrent opioid/methadone use (synergistic QT prolongation); Concurrent cocaine use; CYP2D6 poor metaboliser status (2× increased ibogaine/noribogaine exposure); Hepatic impairment; Concurrent use of CYP2D6 inhibitors (e.g., paroxetine); Use of unstandardised root bark preparations (ibogaine content 0.6–11.2%); Concurrent use of P-glycoprotein substrates",725 mg ibogaine HCl to 38 g dried root bark across reviewed studies; clinical trials used 20 mg ibogaine or 60–180 mg noribogaine,oral,2021/Ona2021_Adverse_Events_Ibogaine_Updated_Review_2015-2020.pdf,Psychopharmacology,Ona 2021; Oña 2021; Ona Adverse Events Review; ICEERS Adverse Events Review; Ona2021_Adverse_Events_Ibogaine_Updated_Review,,34406452,,false,Springer Nature,vault-analytical,,2021/Ona2021_Adverse_Events_Ibogaine_Updated_Review_2015-2020.md
A New Approach Methodology (NAM) for the Prediction of (Nor)Ibogaine-Induced Cardiotoxicity in Humans,"Shi, Miaoying; Wesseling, Sebastiaan; Bouwmeester, Hans; Rietjens, Ivonne M. C. M.",2021,10.14573/altex.2103311,RED,ORANGE,in-vitro,topic/cardiac; topic/cyp2d6; topic/noribogaine; topic/pharmacokinetics; topic/toxicity; method/in-vitro,high,PBK model predicts ibogaine QTc BMDL₁₀ of 97mg/70kg; noribogaine dominates in vivo cardiotoxicity due to high plasma levels and lower protein binding,,,true,false,false,Doses above BMDL₁₀ of ~97 mg ibogaine (70 kg body weight) predicted to cause significant QTc prolongation; CYP2D6 poor metaboliser status (up to 43-fold higher ibogaine concentrations); Concurrent CYP2D6 inhibitor use (26-fold higher ibogaine Cmax reported); Clinical doses (420–2100 mg) are 4–21-fold above predicted BMDL₁₀ for QTc prolongation,BMDL₁₀: 97 mg ibogaine / 70 kg (QTc onset); clinical range discussed: 420–2100 mg (6–30 mg/kg),oral,2021/Shi2021_NAM_Ibogaine_Cardiotoxicity.pdf,ALTEX - Alternatives to Animal Experimentation,Shi 2021; NAM Ibogaine Cardiotoxicity Prediction; PBK Reverse Dosimetry Ibogaine,,34271588,,unknown,Bentham Open,vault-analytical,,2021/Shi2021_NAM_Ibogaine_Cardiotoxicity.md
"A narrative review of the pharmacological, cultural and psychological literature on ibogaine","Underwood, Martie S.; Bright, Stephen J.; Lancaster, B. Les",2021,10.1556/2054.2021.00152,BLUE,ORANGE; WHITE; PURPLE,review,method/review; topic/pharmacokinetics; topic/traditional-use; topic/phenomenology,high,"COMPREHENSIVE: Narrative review covering pharmacological (NMDA antagonist), cultural (Bwiti worldview), psychological (holotropic consciousness theory) aspects. Questions oneirophrenic classification; proposes ibogaine experience as holotropic state.",,,false,false,false,,,,2021/Underwood2021_Narrative_Review_Ibogaine_Literature.pdf,Journal of Psychedelic Studies,Underwood 2021; Underwood; Underwood & Bright 2021,,,,false,Akadémiai Kiadó,academic-retained,,2021/Underwood2021_Narrative_Review_Ibogaine_Literature.md
Ibogaine microdosing in a patient with bipolar depression: a case report,"Fernandes-Nascimento, Maria Helha; Viana-Ferreira, Karine; Chaves, Bruno Daniel Rasmussen; Negrão, André Brooking; Wang, Yuan-Pang",2022,10.47626/1516-4446-2021-2359,BLUE,,case-report,topic/psychiatric; topic/efficacy; topic/protocol; method/case-report,moderate,"First published ibogaine microdosing case for bipolar depression. 8mg/day for 60 days. Sustained improvement in depression, anxiety, hopelessness through day 90. No manic switch. Brazilian case.",1,,false,false,false,,8 mg/day microdose for 60 days,oral,2022/Fernandes-Nascimento2022_Microdosing_Bipolar.pdf,Brazilian Journal of Psychiatry,Fernandes-Nascimento 2022; Ibogaine Microdosing Bipolar,,35896190,PMC9375667,true,Brazilian Journal Publisher,academic-retained,,2022/Fernandes-Nascimento2022_Microdosing_Bipolar.md
Ibogaine and Their Analogs as Therapeutics for Neurological and Psychiatric Disorders,"Kargbo, Robert B.",2022,10.1021/acsmedchemlett.2c00214,ORANGE,,review,topic/analogues; topic/cognition; topic/psychiatric; topic/efficacy; topic/mechanism,moderate,ACS Med Chem Letters patent highlight: ibogaine analogue development for neurological/psychiatric disorders. IP landscape review.,,,false,false,false,,,,2022/Kargbo2022_Ibogaine_and_Analogs_Therapeutics_Neurological_Psychiatric_Disorders.pdf,ACS Medicinal Chemistry Letters,Kargbo 2022; Kargbo,,35707155,PMC9190277,true,American Chemical Society,narrative,,2022/Kargbo2022_Ibogaine_and_Analogs_Therapeutics_Neurological_Psychiatric_Disorders.md
A Systematic Literature Review of Clinical Trials and Therapeutic Applications of Ibogaine,"Köck, Patrick; Froelich, Katharina; Walter, Marc; Lang, Undine; Dürsteler, Kenneth M.",2022,10.1016/j.jsat.2021.108717,BLUE,RED; ORANGE,systematic-review,topic/efficacy; topic/opioid; method/systematic-review,high,Basel systematic review (n=705 across 24 studies): efficacy for SUD withdrawal/craving; depression/trauma benefits; 2 fatalities in reviewed studies; 18-MC & tabernanthalog as safer alternatives.,705,,true,false,false,,,,2022/Kock2022_Systemic_Review_Clinical_Trials_Therapeutic_Applications_Ibogaine.pdf,Journal of Substance Abuse Treatment,Kock 2022; Köck 2022,,35012793,,false,Elsevier,academic-retained,,2022/Kock2022_Systemic_Review_Clinical_Trials_Therapeutic_Applications_Ibogaine.md
Addiction Pharmacology and Ibogaine,"Malcolm, Benjamin J.",2022,,ORANGE,RED; GREEN; WHITE,review,topic/mechanism; topic/receptor; topic/cardiac; topic/opioid; topic/pharmacokinetics; topic/cyp2d6; topic/toxicity; topic/harm-reduction; method/review,moderate,Pharmacist's synthesis framing ibogaine risk as manageable with screening; noribogaine QTc dose-response (16–42 ms); 18 contraindications; CYP2D6 inhibitors double exposure; fatal range 4.5–29 mg/kg,,,true,false,false,"Schizophrenia or bipolar disorder; Pre-existing cardiac illness; Prolonged baseline QTc interval; Liver damage and/or cirrhosis; Cerebellar dysfunction; Epilepsy or seizure disorders; Pregnancy; Dementia and organic brain disease; Advanced respiratory conditions; Electrolyte abnormalities (Mg, K); Untreated thyroid disorders; Medications known to prolong QTc interval; Medications that slow heart rates; Medications that inhibit CYP2D6; Psychotropic medications; Long-acting opioids; Concurrent opioid, cocaine, or other drug use (re-sensitisation risk); Acute alcohol or benzodiazepine withdrawal (seizure risk)",Therapeutic: 8–31 mg/kg (observational studies); estimated safe dose 0.87 mg/kg; fatal range 4.5–29 mg/kg; noribogaine dose-ranging 60/120/180 mg,not-applicable,2022/Malcolm2022_Addiction_Pharmacology_Ibogaine.pdf,,Malcolm 2022; Addiction Pharmacology and Ibogaine Presentation; Spirit Pharmacist Ibogaine Lecture,,,,unknown,,vault-analytical,,2022/Malcolm2022_Addiction_Pharmacology_Ibogaine.md
"Drug Transporters ABCB1 (P-gp) and OATP, but not Drug-Metabolizing Enzyme CYP3A4, Affect the Pharmacokinetics of the Psychoactive Alkaloid Ibogaine and its Metabolites","Martins, Margarida L. F.; Heydari, Paniz; Li, Wenlong; Martínez-Chávez, Alejandra; Venekamp, Nikkie; Lebre, Maria C.; Lucas, Luc; Beijnen, Jos H.; Schinkel, Alfred H.",2022,10.3389/fphar.2022.855000,ORANGE,RED,preclinical,topic/pharmacokinetics; topic/noribogaine; topic/cardiac; topic/cyp2d6; method/preclinical,moderate,ABCB1/ABCG2 modestly restrict ibogaine oral availability (2.3× AUC) and brain penetration (1.5×). Human OATP1B1/1B3 and CYP3A4 have minimal impact — reducing drug interaction risk.,,,false,false,false,,"10 mg/kg oral (ibogaine HCl in DMSO:saline 1:9, v/v) — mouse study",oral,2022/Martins2022_Drug_Transporters_Ibogaine_PK.pdf,Frontiers in Pharmacology,Martins 2022; ABCB1 OATP Ibogaine Pharmacokinetics; Schinkel Ibogaine Transporters,,35308219,PMC8931498,true,Frontiers,vault-analytical,,2022/Martins2022_Drug_Transporters_Ibogaine_PK.md
Underground Ibogaine Use for the Treatment of Substance Use Disorders: A Qualitative Analysis of Subjective Experiences,"Rodríguez-Cano, Borja J.; Kohek, Maja; Oña, Genís; Alcázar-Córcoles, Miguel Ángel; dos Santos, Rafael G.; Hallak, Jaime E. C.; Bouso, José Carlos",2022,10.1111/dar.13587,PURPLE,BLUE,qualitative,topic/phenomenology; topic/harm-reduction; method/qualitative,low,Drug & Alcohol Review qualitative study: underground ibogaine use for SUD treatment; subjective experience themes; unregulated setting context.,13,,false,false,false,,,,2022/Rodriguez-Cano2022_Underground_Ibogaine_Use_for_SUD_Tx_Qualitative_Analysis_Subjective_Experiences.pdf,Drug and Alcohol Review,Rodriguez-Cano 2022; Rodríguez-Cano 2022,,36456173,,false,Wiley,academic-retained,,2022/Rodriguez-Cano2022_Underground_Ibogaine_Use_for_SUD_Tx_Qualitative_Analysis_Subjective_Experiences.md
What We Have Gained from Ibogaine: α3β4 Nicotinic Acetylcholine Receptor Inhibitors as Treatments for Substance Use Disorders,"Straub, Carolyn J.; Rusali, Lisa E.; Kremiller, Kyle M.; Riley, Andrew P.",2022,10.1021/acs.jmedchem.2c01562,ORANGE,,review,mechanism/nicotinic-receptor; topic/efficacy,moderate,RETROSPECTIVE ADD: Review of ibogaine and α3β4 nicotinic acetylcholine receptor inhibitors as treatments for substance use disorders.,,,false,false,false,,,,2022/Straub2022_Ibogaine_Nicotinic_Acetylcholine_Receptor_Inhibitors_Tx_SUDs.pdf,Journal of Medicinal Chemistry,Straub 2022; Straub,,36440853,PMC10034762,true,American Chemical Society,academic-retained,,2022/Straub2022_Ibogaine_Nicotinic_Acetylcholine_Receptor_Inhibitors_Tx_SUDs.md
Ibogaína: un psicodélico atípico con potencial antiadictivo,"Gallo Alfonso, Diego; González, Joaquín; Rodríguez, Paola; Castro, Santiago; Scorza, Cecilia; Torterolo, Pablo; Carrera, Ignacio",2023,,ORANGE,,review,topic/mechanism; topic/opioid; topic/alcohol; topic/receptor; topic/gdnf; topic/cardiac; topic/sleep; mechanism/nmda-antagonism; mechanism/kappa-opioid; mechanism/sert-inhibition; method/review,moderate,"Spanish-language review for psychiatrists covering ibogaine pharmacology, anti-addictive mechanisms (GDNF, neuroplasticity), clinical evidence summary, and cardiac safety. Includes comprehensive clinical trials table.",,,false,true,false,,,,2023/Alfonso2023_Ibogaine_Atypical_Psychedelic_Review_ES.pdf,Revista de Psiquiatría del Uruguay,González 2023; Gallo Alfonso 2023; Uruguayan ibogaine review,,,,unknown,,academic-retained,,2023/Alfonso2023_Ibogaine_Atypical_Psychedelic_Review_ES.md
(+)-Catharanthine and (-)-18-methoxycoronaridine induce antidepressant-like activity in mice by differently recruiting serotonergic and norepinephrinergic neurotransmission,"Arias, Hugo R.; De Deurwaerdère, Philippe; El-Kasaby, Ali; Di Giovanni, Giuseppe; Eom, Sanung; Lee, Junho H.; Freissmuth, Michael; Chagraoui, Abdeslam",2023,10.1016/j.ejphar.2022.175454,ORANGE,BLUE,preclinical,topic/analogues; topic/18-mc; topic/psychiatric; topic/mechanism; topic/serotonin,low,Eur J Pharmacol: (+)-catharanthine and (-)-18-MC antidepressant-like activity in mice. Differential SERT/NET recruitment. FST/TST at 40mg/kg. Coronaridine congener mechanisms.,,,false,false,false,,,,2023/Arias2023_Catharanthine_18-MC.pdf,European Journal of Pharmacology,Arias 2023; Arias Catharanthine,,36549498,,false,Elsevier,vault-analytical,,2023/Arias2023_Catharanthine_18-MC.md
A review of the mechanisms involved in the neuroprotection and neurotoxicity of Iboga alkaloids,"Boukandou Mounanga, Marlaine Michele; Aboughe Angone, Sophie",2023,10.1016/j.prenap.2023.100006,ORANGE,RED,review,topic/mechanism; topic/gdnf; topic/receptor; topic/toxicity; topic/noribogaine; topic/neuroplasticity; topic/analogues; topic/dopamine; method/review,moderate,Dual neuroprotective/neurotoxic review from Gabon (IPHAMETRA/CENAREST). Crude extract LD₅₀ = 1442.571 mg/kg oral; ibogaine LD₅₀ = 263–327 mg/kg; noribogaine LD₅₀ = 630 mg/kg. σ₂ receptor affinity correlates with neurotoxicity.,,,false,false,false,,,,2023/Boukandou2023_Mechanisms_Involved_Neuroprotection_Neurotoxicity_Iboga_Alkaloids.pdf,Pharmacological Research - Natural Products,Boukandou Mounanga 2023; Boukandou 2023; Iboga Neuroprotection Neurotoxicity Review,,,,false,Elsevier,vault-analytical,2950-1997,2023/Boukandou2023_Mechanisms_Involved_Neuroprotection_Neurotoxicity_Iboga_Alkaloids.md
The Effect of Ibogaine on Cognitive Functioning,"Cherian, Kirsten N.; Faerman, Afik; Brown, Randi; Anker, Lauren; Keynan, Or; Ford, TJ; Keller, Jennifer; Williams, Nolan R.",2023,10.1017/S1355617723011049,BLUE,ORANGE,cohort,topic/cognition; topic/tbi; topic/veterans; topic/ptsd; method/observational,high,"First prospective study of ibogaine (~20mg/kg) on neuropsychological performance in SOV with TBI; significant improvements in processing speed, cognitive inhibition, and verbal memory at 1-month follow-up",30,,false,false,false,,,,2023/Cherian2023_Ibogaine_Cognitive_Functioning.pdf,Journal of the International Neuropsychological Society,Cherian 2023 Cognitive; MISTIC Cognitive Outcomes,,,,false,Cambridge University Press,hybrid,,2023/Cherian2023_Ibogaine_Cognitive_Functioning.md
Open-label study of consecutive ibogaine and 5-MeO-DMT assisted-therapy for trauma-exposed male Special Operations Forces Veterans: prospective data from a clinical program in Mexico,"Davis, Alan Kooi; Xin, Yitong; Sepeda, Nathan; Averill, Lynnette A.",2023,10.1080/00952990.2023.2220874,BLUE,RED; GREEN,observational,topic/veterans; topic/ptsd; topic/tbi; topic/combination; topic/protocol,high,"SOFV prospective n=86: Ibogaine 10mg/kg + 5-MeO-DMT 50mg over 3 days. Large improvements in PTSD (η²=0.414), depression, anxiety, insomnia, post-concussive symptoms at 1-month. Effects sustained to 6-months.",86,,false,false,false,Cardiac abnormalities on ECG screening; Contraindicated medications without proper taper,10 mg/kg ibogaine HCl + 5-MeO-DMT 50mg total,oral,2023/Davis2023_Ibogaine_5MeO-DMT_for_SEALS.pdf,American Journal of Drug and Alcohol Abuse,Davis 2023; Davis; Davis SEALs 2023,,37734158,,false,Taylor & Francis,vault-analytical,,2023/Davis2023_Ibogaine_5MeO-DMT_for_SEALS.md
Ibogaine reduced severe neuropathic pain associated with a case of brachial plexus nerve root avulsion,"Dickinson, Jonathan E.; Díaz Inzunza, José A.; Perez-Villa, Luis; Millar, Tara G.; Pushparaj, Abhiram P.",2023,10.3389/fpain.2023.1256396,BLUE,ORANGE,case-report,topic/efficacy; method/case-report; topic/gdnf,high,"FIRST DOCUMENTED: 53yo male, 20-year intractable brachial plexus nerve root avulsion pain. High-dose inpatient + low-dose outpatient ibogaine protocol achieved sustained pain reduction and functional improvement.",1,,false,false,false,,15 mg/kg flood + 38 mg/kg saturation protocol; outpatient 3–12 mg/kg,oral,2023/Dickinson2023_Ibogaine_Reduced_Severe_Neuropathic_Pain_Brachial_Plexus_Nerve_Root_Avulsion.pdf,Frontiers in Pain Research,Dickinson 2023; Dickinson; Dickinson Neuropathic Pain 2023,,37720911,PMC10502345,true,Frontiers,academic-retained,,2023/Dickinson2023_Ibogaine_Reduced_Severe_Neuropathic_Pain_Brachial_Plexus_Nerve_Root_Avulsion.md
Transpersonal Intersubjectivity in Ibogaine Experiences: Three cases,"Dickinson, Jonathan",2023,10.1111/anoc.12172,PURPLE,,case-report,topic/phenomenology; method/qualitative,moderate,Qualitative phenomenological study (n=3 case reports) examining transpersonal intersubjectivity in ibogaine experiences - sense of communication with ibogaine itself or entities.,3,,false,false,false,,,,2023/Dickinson2023_Ibogaine_Reduced_Severe_Neuropathic_Pain_Brachial_Plexus_Nerve_Root_Avulsion.pdf,Anthropology of Consciousness,Dickinson 2023; Dickinson Transpersonal,,,,false,Wiley,academic-retained,,2023/Dickinson2023_Transpersonal_Intersubjectivity_in_Ibogaine_Experiences.md
"Ibogaine Treatment in Combat Veterans Significantly Improves Sleep, Beyond Alleviating Posttraumatic Stress Disorder Symptoms","Faerman, Afik; Anker, Lauren; Cherian, Kirsten; Brown, Randi; Williams, Nolan",2023,10.1093/sleep/zsad077.0665,BLUE,,cohort,topic/veterans; topic/ptsd; topic/tbi; topic/sleep; topic/efficacy; method/clinical-trial,high,"n=30 SOF Veterans with TBI. Ibogaine improved PTSD, depression, anxiety, disability, cognition. Effect sizes d=1.4-4.78. No serious adverse events.",30,,false,false,false,,MISTIC protocol - see Cherian 2024,oral,2023/Faerman2023_Ibogaine_Veterans_PTSD.pdf,SLEEP,Faerman 2023; Stanford Sleep Abstract,,,,false,Oxford University Press,academic-retained,,2023/Faerman2023_Ibogaine_Veterans_PTSD.md
